game,name,date,format,id,players,organizerId
PTCG,Nightshades Premier Circuit Challenge #19 25 Codes,2026-08-03T23:00:00.000Z,STANDARD,69d51a7d800d329be2e74a5c,58,2579
PTCG,Sunny's Weekly #267 Return of the Kingdra!,2026-08-03T22:05:00.000Z,STANDARD,6a640d6f937230b102d439ac,194,145
PTCG,Pumpkaweekly,2026-08-03T18:00:00.000Z,STANDARD,6a6f9fd8cdc0391d7fa5a78e,127,36
PTCG,🏆Moujii's Dojo🏆 (Late Registration Available!),2026-08-03T16:10:00.000Z,STANDARD,6a6b5b9052c24ac2da64fd67,261,35
PTCG,SEASAC League Challenge #7 (SEASON 4) [50 CODES],2026-08-03T11:30:00.000Z,STANDARD,6a6d914a2b308b6067b46231,97,2623
PTCG,Rare Candy Club Showdown #35 (50 CODES),2026-08-03T00:00:00.000Z,STANDARD,6a6c306552c24ac2da650b06,158,2518
PTCG,Turn Zero Rising! #6 (100 Codes),2026-08-02T22:00:00.000Z,STANDARD,6a67c6de937230b102d46e9f,173,1371
PTCG,Monster Collectibles After Hours #15,2026-08-02T17:00:00.000Z,STANDARD,6a6e598f2b308b6067b47028,166,2610
PTCG,SEASAC League Challenge #6 (SEASON 4) [50 CODES],2026-08-02T11:30:00.000Z,STANDARD,6a6d9123cdc0391d7fa586cd,119,2623
PTCG,OceanicTournamentSeries2026 18/20,2026-08-02T08:00:00.000Z,STANDARD,6a66122352c24ac2da64c936,51,1611
PTCG,Vault Of Games #3 🏆|OFF-SEASON |WEEKLY,2026-08-02T01:00:00.000Z,STANDARD,6a658393937230b102d45378,105,2226
PTCG,Redacted Chaos #9 (100 Codes),2026-08-01T22:30:00.000Z,STANDARD,6a4aea7a063cb29d318e4522,92,222
PTCG,The Stache Series 0: Trial Run,2026-08-01T22:00:00.000Z,STANDARD,6a50f90665724db9ded42072,228,2722
PTCG,SEASAC League Cup #1 (SEASON 4) [150 CODES],2026-08-01T11:30:00.000Z,STANDARD,6a6a0698937230b102d482c0,115,2623
PTCG,TOURNAMENT OF DOOM! DRAGAPULT IS....,2026-08-01T02:35:00.000Z,STANDARD,6a5a508552c24ac2da6446cf,514,349
PTCG,Full Bench Fridays PTCGL pitch black 150 codes,2026-07-31T21:00:00.000Z,STANDARD,6a6a798452c24ac2da64f6f2,61,2705
PTCG,ASRcristiano # 178 - 60 codes prize pool!,2026-07-31T19:20:00.000Z,STANDARD,6a699fa6937230b102d4811f,100,1778
PTCG,⚡ Surge's TCG Vault Winner Takes All TCG Live #17,2026-07-31T18:00:00.000Z,STANDARD,6a5e305b52c24ac2da64732d,102,2603
PTCG,Team Corna Weekly July #7,2026-07-31T16:00:00.000Z,STANDARD,6a6ae27b937230b102d48d61,82,2583
PTCG,⚡ Surge's TCG Vault Super Series - 100 Codes,2026-07-31T11:00:00.000Z,STANDARD,6a676d9c52c24ac2da64d89c,60,2603
PTCG,Oceania Open! | Season 3 - Week 5,2026-07-31T09:30:00.000Z,STANDARD,6a43871ec87cd9ff0a31356c,72,1659
PTCG,💥​Plantel Battle #29 PITCH 💥​100 CODES ✔️​ TOP 8,2026-07-30T23:00:00.000Z,STANDARD,6a68191b52c24ac2da64e30d,197,1727
PTCG,⚡ Surge's TCG Vault Winner Takes All - 50 Codes,2026-07-30T19:00:00.000Z,STANDARD,6a5e302452c24ac2da647321,105,2603
PTCG,🏆Moujii's Dojo🏆 (Late Registration Available!),2026-07-30T16:10:00.000Z,STANDARD,6a63970f52c24ac2da64aa36,215,35
PTCG,SEASAC League Challenge #5 (SEASON 4) [50 CODES],2026-07-30T11:30:00.000Z,STANDARD,6a67099f52c24ac2da64d607,138,2623
PTCG,REFINE Summer Series Session 5: Pika Cinco,2026-07-29T23:30:00.000Z,STANDARD,6a58f6f1cc68177ec6c56a71,127,2568
PTCG,ASRcristiano # 177 - 60 codes prize pool!,2026-07-29T19:00:00.000Z,STANDARD,6a699f7b937230b102d4811e,135,1778
PTCG,⚡ Surge's TCG Vault Winner Takes All - 50 Codes,2026-07-29T17:00:00.000Z,STANDARD,6a5e2f31937230b102d401c3,116,2603
PTCG,SEASAC League Challenge #4 (SEASON 4) [50 CODES],2026-07-29T11:30:00.000Z,STANDARD,6a67097952c24ac2da64d606,100,2623
PTCG,Pudding Weekly #6 | Funky Ehh,2026-07-29T01:00:00.000Z,STANDARD,6a641b5452c24ac2da64b1f2,57,2720
PTCG,Pitch Black Tourney - Last Prize Series #10,2026-07-28T23:35:00.000Z,STANDARD,6a628c3252c24ac2da64a05e,220,2227
PTCG,👑 CrownOfSpain 👑 #3 (10€ paypal),2026-07-28T18:00:00.000Z,STANDARD,6a6728ae52c24ac2da64d669,128,2698
PTCG,⚡ Surge's TCG Vault Winner Takes All - 50 Codes,2026-07-28T17:00:00.000Z,STANDARD,6a5e2eee52c24ac2da647317,102,2603
PTCG,Team Corna Weekly July #6,2026-07-28T16:00:00.000Z,STANDARD,6a63d849937230b102d436f7,108,2583
PTCG,SEASAC League Challenge #3 (SEASON 4) [50 CODES],2026-07-28T11:30:00.000Z,STANDARD,6a670957937230b102d46707,104,2623
PTCG,CHALLENGE OF DOOM! THAT'S ALOT OF CATS!,2026-07-28T03:35:00.000Z,STANDARD,6a5a50f9937230b102d3da09,128,349
PTCG,🏛💫 Card Temple Weekly Battles #69 🥵​🥵​🥵​,2026-07-28T02:00:00.000Z,STANDARD,6a67943152c24ac2da64dc04,96,2152
PTCG,Nightshades Premier Circuit Challenge #17 50 Codes,2026-07-27T23:00:00.000Z,STANDARD,69d519f5800d329be2e74a58,97,2579
PTCG,Pumpkaweekly,2026-07-27T18:00:00.000Z,STANDARD,6a672281937230b102d46759,108,36
PTCG,🏆Moujii's Dojo🏆 (Late Registration Available!),2026-07-27T16:10:00.000Z,STANDARD,6a5fa0c5937230b102d40ede,246,35
PTCG,SEASAC League Challenge #2 (SEASON 4) [50 CODES],2026-07-27T11:30:00.000Z,STANDARD,6a64f9a4937230b102d44a8a,131,2623
PTCG,Rare Candy Club Showdown #34 (PITCH BLACK LEGAL),2026-07-27T00:00:00.000Z,STANDARD,6a5ed9bb937230b102d40ab3,202,2518
PTCG,Turn Zero Rising! #5 (100 Codes),2026-07-26T22:00:00.000Z,STANDARD,6a563d13232a1a55ee10c311,137,1371
PTCG,Monster Collectibles After Hours #14,2026-07-26T17:00:00.000Z,STANDARD,6a649972937230b102d4422e,134,2610
PTCG,Card Party 4 - FL Sunday All Levels Pitch Black PR,2026-07-26T15:00:00.000Z,STANDARD,6a64f7b5937230b102d44a83,59,2431
PTCG,SEASAC League Challenge #1 (SEASON 4) [50 CODES],2026-07-26T11:30:00.000Z,STANDARD,6a6456a4937230b102d4405f,126,2623
PTCG,OceanicTournamentSeries2026 17/20,2026-07-26T08:00:00.000Z,STANDARD,6a5cbb86937230b102d3f6c2,54,1611
PTCG,Vault Of Games #2 🏆|OFF-SEASON |PITCH BLACK (!),2026-07-26T01:00:00.000Z,STANDARD,6a5c4249937230b102d3f45c,99,2226
PTCG,Redacted Chaos 2nd Chance #6 (50 Codes),2026-07-25T23:45:00.000Z,STANDARD,6a4aeae265724db9ded3da7f,111,222
PTCG,Redacted Chaos #8 (100 Codes),2026-07-25T22:05:00.000Z,STANDARD,6a4aea4965724db9ded3da7a,168,222
PTCG,($340+ PRIZE POOL) BOUNTY HUNTERS COOKOFF,2026-07-25T18:00:00.000Z,STANDARD,6a4578d8c87cd9ff0a314b60,193,2315
PTCG,Card Party 4 - FL Saturday All Levels Tournament,2026-07-25T17:00:00.000Z,STANDARD,6a5a581d52c24ac2da64475c,61,2431
PTCG,TOURNAMENT OF DOOM! Have you heard...,2026-07-25T02:35:00.000Z,STANDARD,6a5a5032937230b102d3da04,504,349
PTCG,Full Bench Fridays PTCGL pitch black $10 pitch,2026-07-24T21:15:00.000Z,STANDARD,6a5fef2552c24ac2da648761,69,2705
PTCG,ASRcristiano # 176 - 60 codes prize pool!,2026-07-24T19:00:00.000Z,STANDARD,6a60c53152c24ac2da648d96,105,1778
PTCG,⚡ Surge's TCG Vault Winner Takes All TCG Live #16,2026-07-24T18:00:00.000Z,STANDARD,6a5e2d9f937230b102d401a6,115,2603
PTCG,Team Corna Weekly July #5,2026-07-24T16:00:00.000Z,STANDARD,6a5baf52937230b102d3eb53,111,2583
PTCG,SEASAC World Championships Qualifiers | $15 PRIZE,2026-07-24T11:30:00.000Z,STANDARD,6a5f729b52c24ac2da6480ec,133,2623
PTCG,Oceania Open! | Season 3 - Week 4,2026-07-24T09:30:00.000Z,STANDARD,6a4386fbc87cd9ff0a31356b,75,1659
PTCG,💥​Plantel Battle #28 PITCH 💥​100 CODES ✔️​ TOP 8,2026-07-23T23:00:00.000Z,STANDARD,6a5e4d3752c24ac2da647443,121,1727
PTCG,ASRcristiano # 175 - Pitch Black legal!,2026-07-23T19:15:00.000Z,STANDARD,6a60c513937230b102d4178c,67,1778
PTCG,⚡ Surge's TCG Vault Winner Takes All - 50 Codes,2026-07-23T18:59:00.000Z,STANDARD,6a5e2d63937230b102d401a2,104,2603
PTCG,🏆Moujii's Dojo🏆 (Late Registration Available!),2026-07-23T16:10:00.000Z,STANDARD,6a5a671b52c24ac2da644850,229,35
PTCG,REFINE Summer Series Session 4: Pitchin' Black,2026-07-22T23:30:00.000Z,STANDARD,6a58f606cc68177ec6c56a6c,108,2568
PTCG,Hideout TCG MID-WEEK Meta Clash 100 codes pitch,2026-07-22T21:15:00.000Z,STANDARD,6a5fee22937230b102d41237,57,2705
PTCG,ASRcristiano # 174 - Pitch Black legal!,2026-07-22T19:00:00.000Z,STANDARD,6a60c4e652c24ac2da648d95,81,1778
PTCG,⚡ Surge's TCG Vault Winner Takes All - 50 Codes,2026-07-22T17:00:00.000Z,STANDARD,6a5e2d30937230b102d401a0,156,2603
PTCG,SEASAC League Challenge #24 (SEASON 3) [50 CODES],2026-07-22T11:30:00.000Z,STANDARD,6a5bb770937230b102d3ec7d,103,2623
PTCG,Torneo Sidedeck Online Gratis Martes 21 Julio,2026-07-22T00:00:00.000Z,STANDARD,6a5d7fee52c24ac2da646f01,59,2306
PTCG,Pitch Black Legal - Last Prize Series #9,2026-07-21T23:35:00.000Z,STANDARD,6a5e8d4b937230b102d40671,177,2227
